,1980.Total,1980.Low ,1980.Medium,1980.High,1985.Total,1985.Low ,1985.Medium,1985.High,1990.Total,1990.Low ,1990.Medium,1990.High,1995.Total,1995.Low ,1995.Medium,1995.High,2000.Total,2000.Low ,2000.Medium,2000.High,2005.Total,2005.Low ,2005.Medium,2005.High,2010.Total,2010.Low ,2010.Medium,2010.High
Botswana,112,96,0,16,135,78,4,53,103,0,9,94,57,0,7,50,72,0,8,64,104,0,12,92,115,0,12,103
Brazil,11408,2960,2656,5792,22076,5513,5205,11358,27515,4396,7724,15395,39692,4024,16028,19640,58311,8453,20693,29165,115375,16906,47147,51322,126256,17692,48121,60443
Brunei,112,16,32,64,182,13,23,146,218,0,0,218,116,0,0,116,148,0,0,148,212,0,0,212,239,0,0,239
Bulgaria,4576,1472,1136,1968,5575,1552,1231,2792,4223,500,985,2738,6945,294,2222,4429,10977,387,3019,7571,21756,400,6813,14543,21350,793,5822,14735
Burkina Faso,160,64,64,32,156,52,46,58,73,0,0,73,39,0,0,39,50,0,0,50,71,0,0,71,80,0,0,80
Burundi,80,0,16,64,95,4,11,80,70,6,0,64,36,2,0,34,47,4,0,43,67,5,0,62,76,6,0,70
Cambodia,4800,2432,880,1488,21426,12319,3524,5583,31582,14651,6753,10178,32631,9557,12348,10726,42672,14609,14537,13526,56107,16814,18693,20600,63044,18914,22316,21814
Cameroon,384,32,0,352,1072,63,30,979,1732,53,70,1609,2852,61,378,2413,4797,147,684,3966,7852,46,1142,6664,13010,151,1414,11445
Canada,274256,105680,69264,99312,345750,126398,77953,141399,263285,57134,66782,139369,262502,31084,89762,141656,281874,35203,74739,171932,319559,32285,82992,204282,307664,24055,73067,210542
Cape Verde,3616,2224,816,576,5795,3482,1416,897,5304,2368,1947,989,5848,1771,3064,1013,7530,3157,3132,1241,9662,3702,3704,2256,12599,4730,5200,2669
Central African Republic,48,16,0,32,104,45,11,48,121,46,25,50,64,17,20,27,86,30,22,34,122,40,33,49,134,45,34,55
Chad,80,0,0,80,112,20,12,80,91,28,29,34,52,10,24,18,66,18,25,23,95,24,38,33,104,27,40,37
Chile,12064,2368,3312,6384,19366,3850,5105,10411,21170,2723,6403,12044,23577,1850,9382,12345,26915,2974,8821,15120,34014,1554,12844,19616,36595,2520,13341,20734
China,123328,44160,21104,58064,212011,81448,34075,96488,222609,64451,44407,113751,249629,46250,69166,134213,336723,79087,69923,187713,507076,99314,119138,288624,550991,117176,124926,308889
"China, Hong Kong SAR",15488,2224,1872,11392,34601,4858,4781,24962,48757,4317,8037,36403,52956,3218,12227,37511,63962,5719,12034,46209,85460,8176,16841,60443,86567,7351,16243,62973
"China, Macao SAR",928,128,80,720,1669,234,219,1216,2018,184,377,1457,1153,68,309,776,1438,120,330,988,2075,160,495,1420,2295,180,520,1595
