"Country" "Country_Code" "Indicator" "Indicator_Code" "Time" "Value" "Classification"
"218" "Australia" "AUS" "Real interest rate (%)" "FR.INR.RINR" "1989" 6.588599372 1
"219" "Australia" "AUS" "Lending interest rate (%)" "FR.INR.LEND" "1989" 16.45833333 1
"220" "Australia" "AUS" "Inflation, consumer prices (annual %)" "FP.CPI.TOTL.ZG" "1989" 7.559425097 1
"221" "Australia" "AUS" "Inflation, GDP deflator (annual %)" "NY.GDP.DEFL.KD.ZG" "1989" 9.259652552 1
"222" "Australia" "AUS" "Consumer price index (2010 = 100)" "FP.CPI.TOTL" "1989" 55.72450965 1
"223" "Australia" "AUS" "Interest rate spread (lending rate minus deposit rate, %)" "FR.INR.LNDP" "1989" -2.490290987 1
"224" "Australia" "AUS" "Market capitalization of listed domestic companies (current US$)" "CM.MKT.LCAP.CD" "1989" 1.40354e+11 1
"225" "Australia" "AUS" "Market capitalization of listed domestic companies (% of GDP)" "CM.MKT.LCAP.GD.ZS" "1989" 46.79366126 1
"226" "Australia" "AUS" "Portfolio equity, net inflows (BoP, current US$)" "BX.PEF.TOTL.CD.WD" "1989" 1401061654 1
"227" "Australia" "AUS" "Portfolio investment, net (BoP, current US$)" "BN.KLT.PTXL.CD" "1989" -8112295912 1
"228" "Australia" "AUS" "Current account balance (% of GDP)" "BN.CAB.XOKA.GD.ZS" "1989" -6.114558729 1
"229" "Australia" "AUS" "Net capital account (BoP, current US$)" "BN.TRF.KOGT.CD" "1989" -193022586.7 1
"230" "Australia" "AUS" "Net financial account (BoP, current US$)" "BN.FIN.TOTL.CD" "1989" -17885982075 1
"231" "Australia" "AUS" "Consumer price index (2010=100, December)" "GFDD.OE.01" "1990" 61.3 1
"232" "Australia" "AUS" "Stock market total value traded to GDP (%)" "GFDD.DM.02" "1990" 13.22 1
"233" "Australia" "AUS" "Stock market turnover ratio (%)" "GFDD.EM.01" "1990" 32.97 1
"234" "Australia" "AUS" "Stock price volatility" "GFDD.SM.01" "1990" 14.43 1
"235" "Australia" "AUS" "GDP growth (annual %)" "NY.GDP.MKTP.KD.ZG" "1990" 3.530801438 1
"236" "Australia" "AUS" "GDP per capita (current US$)" "NY.GDP.PCAP.CD" "1990" 18249.28849 1
"237" "Australia" "AUS" "GDP per capita growth (annual %)" "NY.GDP.PCAP.KD.ZG" "1990" 2.009850965 1
"238" "Australia" "AUS" "GDP deflator (base year varies by country)" "NY.GDP.DEFL.ZS" "1990" 53.5035266 1
"239" "Australia" "AUS" "GDP deflator: linked series (base year varies by country)" "NY.GDP.DEFL.ZS.AD" "1990" 53.5035266 1
"240" "Australia" "AUS" "GDP (current US$)" "NY.GDP.MKTP.CD" "1990" 3.11426e+11 1
